,SampleID,pair,16S (SILVA) clean reads,16S (RDP) clean reads,ITS clean reads,powerplant,site,type,treatment,temperature,depth,Cl,Br,SO4,F,SO3,Acetate,Acetate_C,Propionate,Propionate_C,Formate,Formate_C,DOC,HOC,Makro1,Makro2,Makro3,LMWA,LMWN,sampleid_original,original_order
X105,X105,55,35196,34998,905,Heemskerk,Production,Production,direct,99.5,2600,155.59,235.64,436.43,2.15,NA,77.15,31.39,3.09,1.52,0,NA,26.09,2.16,0.03,0,0,14.38,9.55,105,99
X138,X138,53,36663,36663,929,Heemskerk,Production,Production,spores,99.5,2600,155.59,235.64,436.43,2.15,NA,77.15,31.39,3.09,1.52,0,NA,26.09,2.16,0.03,0,0,14.38,9.55,138,132
X175,X175,90,40798,40798,939,Krafla,K-06,Production,direct,341.5,2000,0.03,0,251.42,1.21,54.63,1.34,0.55,NA,NA,1.36,0.36,0.53,0,0,0,0,0.26,0.27,175,169
B4,B4,NA,19888,19888,943,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B4,265
X144,X144,59,14742,14718,999,Heemskerk,Production,Production,spores,99.5,2600,155.59,235.64,436.43,2.15,NA,77.15,31.39,3.09,1.52,0,NA,26.09,2.16,0.03,0,0,14.38,9.55,144,138
X91,X91,41,56032,53255,1048,Neustadt-Glewe,Production,Production,spores,97,2455,135.2,339.32,442.54,0.56,NA,42.11,17.13,0,NA,0,NA,19.49,1.8,0.13,0,0,9.04,8.52,91,85
X26,X26,8,17630,15952,1145,Insheim,Production,Production,spores,165,3650,76.26,170.58,117.06,5.5,0,0.6,0.14,NA,NA,0,NA,1.81,0,0.03,0,0,0.26,1.52,26,20
X37,X37,19,22421,22216,1240,Insheim,Injection,Injection,direct,65,3850,77.4,178,144.94,5.5,NA,0,0.12,NA,NA,0,NA,NA,0,0,0,0,0.35,13.89,37,31
B8,B8,NA,35669,35669,1266,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B8,269
X19,X19,1,40453,37646,1316,Insheim,Injection,Injection,spores,65,3850,77.4,178,144.94,5.5,NA,0,0.12,NA,NA,0,NA,NA,0,0,0,0,0.35,13.89,19,13
X182,X182,97,20897,19325,1331,Krafla,K-32,Injection,direct,174.4,1875,0.05,0,326.43,1.2,106.52,1.96,0.8,NA,NA,3.35,0.89,0.75,0,0,0,0,0.32,0.43,182,176
X135,X135,50,40614,40606,1334,Heemskerk,Production,Production,spores,99.5,2600,155.59,235.64,436.43,2.15,NA,77.15,31.39,3.09,1.52,0,NA,26.09,2.16,0.03,0,0,14.38,9.55,135,129
X39,X39,21,22799,22799,1364,Insheim,Production,Production,direct,165,3650,76.26,170.58,117.06,5.5,0,0.6,0.14,NA,NA,0,NA,1.81,0,0.03,0,0,0.26,1.52,39,33
B11,B11,NA,28068,27401,1412,Blank,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,B11,272
X87,X87,42,40729,40194,1415,Neustadt-Glewe,Production,Production,direct,97,2455,135.2,339.32,442.54,0.56,NA,42.11,17.13,0,NA,0,NA,19.49,1.8,0.13,0,0,9.04,8.52,87,81
X184,X184,99,44563,43869,1444,Krafla,K-32,Injection,direct,174.4,1875,0.05,0,326.43,1.2,106.52,1.96,0.8,NA,NA,3.35,0.89,0.75,0,0,0,0,0.32,0.43,184,178
X134,X134,49,35498,35530,1454,Heemskerk,Production,Production,spores,99.5,2600,155.59,235.64,436.43,2.15,NA,77.15,31.39,3.09,1.52,0,NA,26.09,2.16,0.03,0,0,14.38,9.55,134,128
X209,X209,104,31584,31261,1468,Theistareykir,PN-2,Injection,direct,185,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,209,203
X171,X171,86,23158,23158,1483,Krafla,K-26,Injection,direct,106.8,2127,0.05,0,247.56,1.5,63.04,1.6,0.65,NA,NA,1.45,0.39,0.9,0,0.01,0,0,0.34,0.56,171,165
X71,X71,26,43363,43363,1516,Bad Blumau,Injection,Injection,spores,100,3046,3.98,10.72,516.53,10.28,NA,16.65,6.77,1.25,0.62,NA,NA,8.34,1.3,1.55,0,0,4.75,0.74,71,65
X31,X31,13,23652,23057,1628,Insheim,Injection,Injection,direct,65,3850,77.4,178,144.94,5.5,NA,0,0.12,NA,NA,0,NA,NA,0,0,0,0,0.35,13.89,31,25
X232,X232,127,36114,33500,1634,Theistareykir,PG-4,Production,direct,344.6,2240,0.03,0,5.53,1.81,39.35,0,NA,NA,NA,0,NA,0.26,0,0.01,0,0,0.02,0.23,232,226
X210,X210,105,47133,46838,1665,Theistareykir,PG-5B,Production,direct,235.15,2499,0.05,0,32.59,1.41,39.5,0,NA,NA,NA,1.46,0.39,0.25,0,0,0,0,0.02,0.23,210,204
