,SampleID,pair,16S (SILVA) clean reads,16S (RDP) clean reads,ITS clean reads,powerplant,site,type,treatment,temperature,depth,Cl,Br,SO4,F,SO3,Acetate,Acetate_C,Propionate,Propionate_C,Formate,Formate_C,DOC,HOC,Makro1,Makro2,Makro3,LMWA,LMWN,sampleid_original,original_order
X262,X262,127,30153,30153,55266,Theistareykir,PG-4,Production,spores,344.6,2240,0.03,0,5.53,1.81,39.35,0,NA,NA,NA,0,NA,0.26,0,0.01,0,0,0.02,0.23,262,256
X167,X167,82,51320,51320,56430,Krafla,K-26,Injection,direct,106.8,2127,0.05,0,247.56,1.5,63.04,1.6,0.65,NA,NA,1.45,0.39,0.9,0,0.01,0,0,0.34,0.56,167,161
X154,X154,69,28158,28079,57889,Heemskerk,Injection,Injection,spores,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,154,148
X115,X115,65,43625,43544,58323,Heemskerk,Injection,Injection,direct,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,115,109
X66,X66,36,19935,19773,59215,Bad Blumau,Production,Production,direct,110,2843,4.08,8.87,532.25,10.21,NA,16.22,6.6,1.37,0.68,NA,NA,8.76,1.32,1.61,0,0,4.93,0.96,66,60
X146,X146,61,7200,7163,59409,Heemskerk,Injection,Injection,spores,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,146,140
X148,X148,63,20136,20041,59673,Heemskerk,Injection,Injection,spores,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,148,142
X120,X120,70,44130,44080,59830,Heemskerk,Injection,Injection,direct,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,120,114
X112,X112,62,50349,50331,61011,Heemskerk,Injection,Injection,direct,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,112,106
X156,X156,71,50689,50562,63623,Heemskerk,Injection,Injection,spores,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,156,150
X113,X113,63,45346,45319,66095,Heemskerk,Injection,Injection,direct,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,113,107
X123,X123,73,33791,33737,67751,Heemskerk,Injection,Injection,direct,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,123,117
X242,X242,107,11604,11604,67920,Theistareykir,PG-5B,Production,spores,235.15,2499,0.05,0,32.59,1.41,39.5,0,NA,NA,NA,1.46,0.39,0.25,0,0,0,0,0.02,0.23,242,236
X118,X118,68,35052,34838,68636,Heemskerk,Injection,Injection,direct,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,118,112
X121,X121,71,38072,38072,78141,Heemskerk,Injection,Injection,direct,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,121,115
X116,X116,66,49751,49751,80628,Heemskerk,Injection,Injection,direct,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,116,110
X126,X126,76,27122,27080,81787,Heemskerk,Injection,Injection,direct,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,126,120
X159,X159,74,40876,40798,82510,Heemskerk,Injection,Injection,spores,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,159,153
X117,X117,67,46298,46201,82748,Heemskerk,Injection,Injection,direct,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,117,111
X114,X114,64,32608,32581,82977,Heemskerk,Injection,Injection,direct,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,114,108
X122,X122,72,28370,28343,85990,Heemskerk,Injection,Injection,direct,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,122,116
X125,X125,75,36215,36158,93655,Heemskerk,Injection,Injection,direct,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,125,119
X124,X124,74,45241,45185,95981,Heemskerk,Injection,Injection,direct,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,124,118
X119,X119,69,39805,39749,96246,Heemskerk,Injection,Injection,direct,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,119,113
X111,X111,61,40601,40572,106936,Heemskerk,Injection,Injection,direct,43.2,2600,148.99,218.6,423.68,2.23,NA,76.38,31.08,3.13,1.54,0,NA,26.03,0,0.06,0,0,14.83,11.14,111,105
