SampleID	pair	powerplant	site	type	treatment	temperature	depth	Cl	Br	SO4	F	SO3	Acetate	Acetate_C 	Propionate	Propionate_C	Formate	Formate_C	DOC	HOC	Makro1	Makro2	Makro3	LMWA	LMWN	sampleid_original	original_order
X131	46	Heemskerk	Production	Production	spores	99.5	2600	155.59	235.64	436.43	2.15	NA	77.15	31.39	3.09	1.52	0	NA	26.09	2.16	0.03	0	0	14.38	9.55	131	125
X132	47	Heemskerk	Production	Production	spores	99.5	2600	155.59	235.64	436.43	2.15	NA	77.15	31.39	3.09	1.52	0	NA	26.09	2.16	0.03	0	0	14.38	9.55	132	126
X133	48	Heemskerk	Production	Production	spores	99.5	2600	155.59	235.64	436.43	2.15	NA	77.15	31.39	3.09	1.52	0	NA	26.09	2.16	0.03	0	0	14.38	9.55	133	127
X134	49	Heemskerk	Production	Production	spores	99.5	2600	155.59	235.64	436.43	2.15	NA	77.15	31.39	3.09	1.52	0	NA	26.09	2.16	0.03	0	0	14.38	9.55	134	128
X135	50	Heemskerk	Production	Production	spores	99.5	2600	155.59	235.64	436.43	2.15	NA	77.15	31.39	3.09	1.52	0	NA	26.09	2.16	0.03	0	0	14.38	9.55	135	129
X136	51	Heemskerk	Production	Production	spores	99.5	2600	155.59	235.64	436.43	2.15	NA	77.15	31.39	3.09	1.52	0	NA	26.09	2.16	0.03	0	0	14.38	9.55	136	130
X137	52	Heemskerk	Production	Production	spores	99.5	2600	155.59	235.64	436.43	2.15	NA	77.15	31.39	3.09	1.52	0	NA	26.09	2.16	0.03	0	0	14.38	9.55	137	131
X138	53	Heemskerk	Production	Production	spores	99.5	2600	155.59	235.64	436.43	2.15	NA	77.15	31.39	3.09	1.52	0	NA	26.09	2.16	0.03	0	0	14.38	9.55	138	132
X139	54	Heemskerk	Production	Production	spores	99.5	2600	155.59	235.64	436.43	2.15	NA	77.15	31.39	3.09	1.52	0	NA	26.09	2.16	0.03	0	0	14.38	9.55	139	133
X14	8	Insheim	Production	Production	direct	165	3650	76.26	170.58	117.06	5.5	0	0.6	0.14	NA	NA	0	NA	1.81	0	0.03	0	0	0.26	1.52	14	8
X140	55	Heemskerk	Production	Production	spores	99.5	2600	155.59	235.64	436.43	2.15	NA	77.15	31.39	3.09	1.52	0	NA	26.09	2.16	0.03	0	0	14.38	9.55	140	134
X141	56	Heemskerk	Production	Production	spores	99.5	2600	155.59	235.64	436.43	2.15	NA	77.15	31.39	3.09	1.52	0	NA	26.09	2.16	0.03	0	0	14.38	9.55	141	135
X142	57	Heemskerk	Production	Production	spores	99.5	2600	155.59	235.64	436.43	2.15	NA	77.15	31.39	3.09	1.52	0	NA	26.09	2.16	0.03	0	0	14.38	9.55	142	136
X143	58	Heemskerk	Production	Production	spores	99.5	2600	155.59	235.64	436.43	2.15	NA	77.15	31.39	3.09	1.52	0	NA	26.09	2.16	0.03	0	0	14.38	9.55	143	137
X144	59	Heemskerk	Production	Production	spores	99.5	2600	155.59	235.64	436.43	2.15	NA	77.15	31.39	3.09	1.52	0	NA	26.09	2.16	0.03	0	0	14.38	9.55	144	138
X145	60	Heemskerk	Injection	Injection	spores	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	145	139
X146	61	Heemskerk	Injection	Injection	spores	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	146	140
X147	62	Heemskerk	Injection	Injection	spores	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	147	141
X148	63	Heemskerk	Injection	Injection	spores	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	148	142
X149	64	Heemskerk	Injection	Injection	spores	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	149	143
X15	9	Insheim	Production	Production	direct	165	3650	76.26	170.58	117.06	5.5	0	0.6	0.14	NA	NA	0	NA	1.81	0	0.03	0	0	0.26	1.52	15	9
X150	65	Heemskerk	Injection	Injection	spores	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	150	144
X151	66	Heemskerk	Injection	Injection	spores	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	151	145
X152	67	Heemskerk	Injection	Injection	spores	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	152	146
X153	68	Heemskerk	Injection	Injection	spores	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	153	147
X154	69	Heemskerk	Injection	Injection	spores	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	154	148
X155	70	Heemskerk	Injection	Injection	spores	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	155	149
X156	71	Heemskerk	Injection	Injection	spores	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	156	150
X157	72	Heemskerk	Injection	Injection	spores	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	157	151
X158	73	Heemskerk	Injection	Injection	spores	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	158	152
X159	74	Heemskerk	Injection	Injection	spores	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	159	153
X16	10	Insheim	Production	Production	direct	165	3650	76.26	170.58	117.06	5.5	0	0.6	0.14	NA	NA	0	NA	1.81	0	0.03	0	0	0.26	1.52	16	10
X160	75	Heemskerk	Injection	Injection	spores	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	160	154
X161	76	Heemskerk	Injection	Injection	spores	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	161	155
X162	77	Heemskerk	Injection	Injection	spores	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	162	156
X163	78	Heemskerk	Injection	Injection	spores	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	163	157
X164	79	Heemskerk	Injection	Injection	spores	43.2	2600	148.99	218.6	423.68	2.23	NA	76.38	31.08	3.13	1.54	0	NA	26.03	0	0.06	0	0	14.83	11.14	164	158
X165	80	Krafla	K-26	Injection	direct	106.8	2127	0.05	0	247.56	1.5	63.04	1.6	0.65	NA	NA	1.45	0.39	0.9	0	0.01	0	0	0.34	0.56	165	159
X166	81	Krafla	K-26	Injection	direct	106.8	2127	0.05	0	247.56	1.5	63.04	1.6	0.65	NA	NA	1.45	0.39	0.9	0	0.01	0	0	0.34	0.56	166	160
X167	82	Krafla	K-26	Injection	direct	106.8	2127	0.05	0	247.56	1.5	63.04	1.6	0.65	NA	NA	1.45	0.39	0.9	0	0.01	0	0	0.34	0.56	167	161
X168	83	Krafla	K-26	Injection	direct	106.8	2127	0.05	0	247.56	1.5	63.04	1.6	0.65	NA	NA	1.45	0.39	0.9	0	0.01	0	0	0.34	0.56	168	162
X169	84	Krafla	K-26	Injection	direct	106.8	2127	0.05	0	247.56	1.5	63.04	1.6	0.65	NA	NA	1.45	0.39	0.9	0	0.01	0	0	0.34	0.56	169	163
X17	11	Insheim	Production	Production	direct	165	3650	76.26	170.58	117.06	5.5	0	0.6	0.14	NA	NA	0	NA	1.81	0	0.03	0	0	0.26	1.52	17	11
X170	85	Krafla	K-26	Injection	direct	106.8	2127	0.05	0	247.56	1.5	63.04	1.6	0.65	NA	NA	1.45	0.39	0.9	0	0.01	0	0	0.34	0.56	170	164
X171	86	Krafla	K-26	Injection	direct	106.8	2127	0.05	0	247.56	1.5	63.04	1.6	0.65	NA	NA	1.45	0.39	0.9	0	0.01	0	0	0.34	0.56	171	165
X172	87	Krafla	K-26	Injection	direct	106.8	2127	0.05	0	247.56	1.5	63.04	1.6	0.65	NA	NA	1.45	0.39	0.9	0	0.01	0	0	0.34	0.56	172	166
X173	88	Krafla	K-26	Injection	direct	106.8	2127	0.05	0	247.56	1.5	63.04	1.6	0.65	NA	NA	1.45	0.39	0.9	0	0.01	0	0	0.34	0.56	173	167
X174	89	Krafla	K-26	Injection	direct	106.8	2127	0.05	0	247.56	1.5	63.04	1.6	0.65	NA	NA	1.45	0.39	0.9	0	0.01	0	0	0.34	0.56	174	168
